Date,Time,Level
2023-11-13,12:15:02,19.9
2023-11-13,12:15:12,19.9
2023-11-13,12:15:23,19.9
2023-11-13,12:15:33,19.9
2023-11-13,12:15:44,19.9
2023-11-13,12:15:54,19.9
2023-11-13,12:16:05,19.9
2023-11-13,12:16:15,19.9
2023-11-13,12:16:25,19.9
2023-11-13,12:16:36,19.9
2023-11-13,12:16:46,19.9
2023-11-13,12:16:57,19.9
2023-11-13,12:17:07,19.9
2023-11-13,12:17:18,19.9
2023-11-13,12:17:28,19.9
2023-11-13,12:17:39,19.9
2023-11-13,12:17:50,19.9
2023-11-13,12:18:01,19.9
2023-11-13,12:18:11,19.9
2023-11-13,12:18:22,19.9
2023-11-13,12:38:20,19.9
2023-11-13,12:43:50,19.9
2023-11-13,12:44:00,19.9
2023-11-13,12:44:11,19.9
2023-11-13,12:44:21,19.9
2023-11-13,12:44:32,19.9
2023-11-13,12:44:42,19.9
2023-11-13,12:44:53,19.9
2023-11-13,12:45:03,19.9
2023-11-13,12:45:13,19.9
2023-11-13,12:45:24,19.9
2023-11-13,12:45:34,19.9
2023-11-13,12:45:45,19.9
2023-11-13,12:45:55,19.9
2023-11-13,12:46:05,19.9
2023-11-13,12:46:15,19.9
2023-11-13,12:46:25,19.9
2023-11-13,12:46:36,19.9
2023-11-13,12:46:46,19.9
2023-11-13,12:46:56,19.9
2023-11-13,12:47:06,19.9
2023-11-13,12:47:17,19.9
2023-11-13,12:47:27,19.9
2023-11-13,12:47:37,19.9
2023-11-13,12:47:47,19.9
2023-11-13,12:47:58,19.9
2023-11-13,12:48:08,19.9
2023-11-13,12:48:18,19.9
2023-11-13,12:48:29,19.9
2023-11-13,12:48:40,19.9
2023-11-13,12:49:17,19.9
2023-11-13,12:49:27,19.9
2023-11-13,12:49:38,19.9
2023-11-13,12:56:02,19.9
2023-11-13,12:56:12,19.9
2023-11-13,12:56:23,19.9
2023-11-13,12:56:33,19.9
2023-11-13,12:56:43,19.9
2023-11-13,12:56:53,19.9
2023-11-13,12:57:04,19.9
2023-11-13,12:57:15,19.9
2023-11-13,12:57:25,19.9
2023-11-13,12:57:36,19.9
2023-11-13,12:57:47,19.9
2023-11-13,12:57:57,19.9
2023-11-13,12:58:08,19.9
2023-11-13,12:58:18,19.9
2023-11-13,12:58:28,19.9
2023-11-13,12:58:39,19.9
2023-11-13,12:58:49,19.9
2023-11-13,12:59:00,19.9
2023-11-13,12:59:10,19.9
2023-11-13,12:59:21,19.9
2023-11-13,12:59:31,19.9
2023-11-13,12:59:42,19.9
2023-11-13,12:59:52,19.9
2023-11-13,13:00:02,19.9
2023-11-13,13:00:12,19.9
2023-11-13,13:00:23,19.9
2023-11-13,13:00:33,19.9
