Date,Time,Level
2023-11-14,16:45:22,19.9
2023-11-14,16:45:32,19.9
2023-11-14,16:45:43,19.9
2023-11-14,16:45:53,19.9
2023-11-14,16:46:04,19.9
2023-11-14,16:46:14,19.9
2023-11-14,16:46:25,19.9
2023-11-14,16:46:37,19.9
2023-11-14,16:46:49,19.9
2023-11-14,16:47:00,19.9
2023-11-14,16:47:11,19.9
2023-11-14,16:47:22,19.9
2023-11-14,16:47:33,19.9
2023-11-14,16:47:44,19.9
2023-11-14,16:47:54,19.9
2023-11-14,16:48:04,19.9
2023-11-14,16:48:15,19.9
2023-11-14,16:48:26,19.9
2023-11-14,16:48:37,19.9
2023-11-14,16:48:47,19.9
2023-11-14,16:48:58,19.9
2023-11-14,16:49:08,19.9
2023-11-14,16:49:19,19.9
2023-11-14,16:49:29,19.9
2023-11-14,16:49:40,19.9
2023-11-14,16:49:50,19.9
2023-11-14,16:50:01,19.9
2023-11-14,16:50:11,19.9
2023-11-14,16:50:22,19.9
2023-11-14,16:50:32,19.9
2023-11-14,16:50:43,19.9
2023-11-14,16:50:53,19.9
2023-11-14,16:51:04,19.9
2023-11-14,16:51:15,19.9
2023-11-14,16:51:25,19.9
2023-11-14,16:51:36,19.9
2023-11-14,16:51:46,19.9
2023-11-14,16:51:57,19.9
2023-11-14,16:52:07,19.9
2023-11-14,16:52:17,19.9
2023-11-14,16:52:28,19.9
2023-11-14,16:52:38,19.9
2023-11-14,16:52:48,19.9
2023-11-14,16:52:59,19.9
2023-11-14,16:53:09,19.9
2023-11-14,16:53:19,19.9
2023-11-14,16:53:30,19.9
2023-11-14,16:53:40,19.9
2023-11-14,16:53:50,19.9
2023-11-14,16:54:00,19.9
2023-11-14,16:54:11,19.9
2023-11-14,16:54:21,19.9
2023-11-14,16:54:31,19.9
2023-11-14,16:54:42,19.9
2023-11-14,16:54:52,19.9
2023-11-14,16:55:02,19.9
2023-11-14,16:55:13,19.9
2023-11-14,16:55:23,19.9
2023-11-14,16:55:33,19.9
2023-11-14,16:55:44,19.9
2023-11-14,16:55:54,19.9
2023-11-14,16:56:04,19.9
2023-11-14,16:56:15,19.9
2023-11-14,16:56:25,19.9
2023-11-14,16:56:36,19.9
2023-11-14,16:56:46,19.9
2023-11-14,16:56:58,19.9
2023-11-14,16:57:09,19.9
2023-11-14,16:57:19,19.9
2023-11-14,16:57:31,19.9
2023-11-14,16:57:41,19.9
2023-11-14,16:57:52,19.9
2023-11-14,16:58:02,19.9
2023-11-14,16:58:13,19.9
2023-11-14,16:58:24,19.9
2023-11-14,16:58:36,19.9
2023-11-14,16:58:46,19.9
2023-11-14,16:58:57,19.9
2023-11-14,16:59:07,19.9
2023-11-14,16:59:17,19.9
2023-11-14,17:41:33,19.9
2023-11-14,17:41:43,19.9
2023-11-14,17:41:53,19.9
2023-11-14,17:42:03,19.9
2023-11-14,17:42:13,19.9
2023-11-14,17:42:23,19.9
2023-11-14,17:42:34,19.9
2023-11-14,17:42:44,19.9
2023-11-14,17:42:55,19.9
2023-11-14,17:43:05,19.9
2023-11-14,17:43:15,19.9
2023-11-14,17:43:25,19.9
2023-11-14,17:43:35,19.9
2023-11-14,17:43:45,19.9
2023-11-14,17:43:56,19.9
2023-11-14,17:44:06,19.9
2023-11-14,17:44:16,19.9
2023-11-14,17:44:26,19.9
2023-11-14,17:44:36,19.9
2023-11-14,17:44:46,19.9
2023-11-14,17:44:57,19.9
2023-11-14,17:45:07,19.9
2023-11-14,17:45:17,19.9
2023-11-14,17:45:27,19.9
2023-11-14,17:45:37,19.9
2023-11-14,17:45:47,19.9
2023-11-14,17:45:58,19.9
2023-11-14,17:46:08,19.9
2023-11-14,17:46:18,19.9
2023-11-14,17:46:28,19.9
2023-11-14,17:46:39,19.9
2023-11-14,17:46:49,19.9
2023-11-14,17:46:59,19.9
2023-11-14,17:47:09,19.9
2023-11-14,17:47:19,19.9
2023-11-14,17:47:30,19.9
2023-11-14,17:47:40,19.9
2023-11-14,17:47:50,19.9
2023-11-14,17:48:00,19.9
2023-11-14,17:48:10,19.9
2023-11-14,17:48:20,19.9
2023-11-14,17:48:31,19.9
2023-11-14,17:48:41,19.9
2023-11-14,17:48:51,19.9
2023-11-14,17:49:01,19.9
2023-11-14,17:49:11,19.9
2023-11-14,17:49:21,19.9
2023-11-14,17:49:32,19.9
2023-11-14,17:49:42,19.9
2023-11-14,17:49:52,19.9
2023-11-14,17:50:02,19.9
2023-11-14,17:50:12,19.9
2023-11-14,17:50:22,19.9
2023-11-14,17:50:33,19.9
2023-11-14,17:50:43,19.9
2023-11-14,17:50:53,19.9
2023-11-14,17:51:03,19.9
2023-11-14,17:51:13,19.9
2023-11-14,17:51:23,19.9
2023-11-14,17:51:33,19.9
2023-11-14,17:51:44,19.9
2023-11-14,17:51:54,19.9
2023-11-14,17:52:04,19.9
2023-11-14,17:52:14,19.9
2023-11-14,17:52:24,19.9
2023-11-14,17:52:34,19.9
2023-11-14,17:52:45,19.9
2023-11-14,17:52:55,19.9
2023-11-14,17:53:05,19.9
2023-11-14,17:53:15,19.9
2023-11-14,17:53:25,19.9
2023-11-14,17:53:35,19.9
2023-11-14,17:53:46,19.9
2023-11-14,17:53:56,19.9
2023-11-14,17:54:06,19.9
2023-11-14,17:54:17,19.9
2023-11-14,17:54:27,19.9
2023-11-14,17:54:37,19.9
2023-11-14,17:54:47,19.9
2023-11-14,17:54:58,19.9
2023-11-14,17:55:08,19.9
2023-11-14,17:55:18,19.9
