Date,Time,Level,Direction,Rate of Increase,Rate of Decrease,Time to Overflow,Time to Low Level,Minimum Level,Maximum Level
2023-11-19,14:47:50,1.6,,,,,,8,2
2023-11-19,14:48:01,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:48:11,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:48:22,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:48:32,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:48:43,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:48:53,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:03,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:14,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:24,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:35,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:45,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:49:55,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:06,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:16,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:27,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:37,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:47,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:50:58,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:51:08,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:51:19,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:51:29,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:51:39,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:51:50,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:00,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:10,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:21,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:31,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:41,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:52:52,1.6,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,8,2
2023-11-19,14:53:02,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,2
2023-11-19,14:53:13,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,2
2023-11-19,14:53:23,1.6,,,,,,8,1
2023-11-19,14:53:33,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:53:44,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:53:54,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:04,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:15,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:25,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:35,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:46,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:54:56,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:55:06,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:55:17,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:55:27,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:55:37,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:55:48,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:03,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:14,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:25,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:37,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:48,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:56:59,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:57:09,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:57:19,1.6,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:57:30,1.7,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:57:40,1.6,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:57:50,1.7,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:58:01,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:58:12,1.6,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:58:22,1.7,stagnant,0.00 ft/hour,0.00 ft/hour,Not Ready,Not Ready,8,1
2023-11-19,14:58:32,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:58:43,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:58:53,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:04,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:14,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:24,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:35,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:45,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,14:59:55,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:00:07,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:00:18,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:00:28,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:00:39,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:00:50,1.7,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:01:00,1.8,decreasing,0.00 ft/hour,1.20 ft/hour,Not Ready,20,8,1
2023-11-19,15:01:11,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:01:21,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:01:32,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:01:42,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:01:53,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:02:03,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
2023-11-19,15:02:13,1.8,decreasing,0.00 ft/hour,2.40 ft/hour,Not Ready,17,8,1
